family,target,relative_path,sha256,sample_rate_hz,channels,bits_per_sample,samples,duration_s,digital_rms,digital_peak,crest_factor_db,dc_mean,clipped_samples,first_sample,last_sample,energy_95_start_s,energy_95_end_s,energy_95_span_s
reference_C0_1p35s,T01_cruise_entry,reference_C0_1p35s/T01_cruise_entry.wav,f71ca54e29d8b37bccb78028c25883726baf53714dd24a006c586f92f459f63f,44100,1,16,59535,1.35,0.149983027105342,0.39385986328125,8.38599222198888,-0.000137288862545404,0,0,6.103515625e-05,0.194557823129252,1.15662131519274,0.962063492063492
reference_C0_1p35s,T02_descent_begin,reference_C0_1p35s/T02_descent_begin.wav,ee0a447c77d27bfa98fe0eb42c3297216ca608225ebdd663fa3c14af81435dcd,44100,1,16,59535,1.35,0.149983119686453,0.364288330078125,7.70805752228733,-0.000264558978732311,0,0,6.103515625e-05,0.193673469387755,1.15596371882086,0.962290249433107
reference_C0_1p35s,T03_landing_preparation,reference_C0_1p35s/T03_landing_preparation.wav,fde8e8ffe2e5b7e9662f28d5e2a8f29813a9d91955f46110fc5d5306d333edd0,44100,1,16,59535,1.35,0.149983055547464,0.35845947265625,7.56795728955175,1.78548464138742e-05,0,0,6.103515625e-05,0.193945578231293,1.15727891156463,0.963333333333333
M1_two_pulse,T01_cruise_entry,M1_two_pulse/T01_cruise_entry.wav,e7974152d6d48bc27b6ab12a93dd7e2f057ecfc174f64f62bf67a985d4f74cf5,44100,1,16,79380,1.8,0.150000047890199,0.22998046875,3.7119911422623,-1.52372599068563e-05,0,0,0,0.150430839002268,1.64945578231293,1.49902494331066
M1_two_pulse,T02_descent_begin,M1_two_pulse/T02_descent_begin.wav,d24a28548dae311df70076bd4b5ea1876033aa0359e406d4b2911196d2dd90e7,44100,1,16,79380,1.8,0.150000091054834,0.22998046875,3.71198864277512,-1.52203441417076e-05,0,0,0,0.150498866213152,1.64956916099773,1.49907029478458
M1_two_pulse,T03_landing_preparation,M1_two_pulse/T03_landing_preparation.wav,68503a40e55a7ad874c499a6e6220eea08c1159063ff95d8a353114abb6fc979,44100,1,16,79380,1.8,0.150000013928532,0.3927001953125,8.35939635774609,-1.21420593338609e-05,0,0,0,0.282108843537415,1.51823129251701,1.23612244897959
M2_three_pulse,T01_cruise_entry,M2_three_pulse/T01_cruise_entry.wav,e7974152d6d48bc27b6ab12a93dd7e2f057ecfc174f64f62bf67a985d4f74cf5,44100,1,16,79380,1.8,0.150000047890199,0.22998046875,3.7119911422623,-1.52372599068563e-05,0,0,0,0.150430839002268,1.64945578231293,1.49902494331066
M2_three_pulse,T02_descent_begin,M2_three_pulse/T02_descent_begin.wav,d24a28548dae311df70076bd4b5ea1876033aa0359e406d4b2911196d2dd90e7,44100,1,16,79380,1.8,0.150000091054834,0.22998046875,3.71198864277512,-1.52203441417076e-05,0,0,0,0.150498866213152,1.64956916099773,1.49907029478458
M2_three_pulse,T03_landing_preparation,M2_three_pulse/T03_landing_preparation.wav,da0ff773a76f4172f53fb9e4f33bced37b3d4ab9e73ab9edf18e7fb2da95ca76,44100,1,16,79380,1.8,0.150000024059196,0.3927001953125,8.35939577112064,-1.22081845976238e-05,0,0,0,0.200839002267574,1.59913832199546,1.39829931972789
